"","County","SubCounty","AdminArea","Vision_Total","Vision_Male","Vision_Female","Hearing_Total","Hearing_Male","Hearing_Female","Mobility_Total","Mobility_Male","Mobility_Female","Cognition_Total","Cognition_Male","Cognition_Female","SelfCare_Total","SelfCare_Male","SelfCare_Female","Communication_Total","Communication_Male","Communication_Female"
"248","LAIKIPIA","LAIKIPIA NORTH","SubCounty",95,44,51,82,44,38,70,38,32,39,25,14,47,18,29,39,21,18
"249","LAIKIPIA","LAIKIPIA WEST","SubCounty",507,211,296,257,125,132,724,306,418,418,215,203,291,145,146,217,126,91
"250","LAIKIPIA","NYAHURURU","SubCounty",895,387,508,364,170,194,1283,472,811,711,307,404,511,250,261,387,215,172
"251","NAKURU","NAKURU","County",12425,5064,7359,4256,1997,2258,14270,5474,8795,6947,2994,3950,5110,2415,2695,4078,2288,1789
"252","NAKURU","GILGIL","SubCounty",1385,554,831,456,195,261,1658,600,1058,837,337,500,520,234,286,426,229,197
"253","NAKURU","KURESOI NORTH","SubCounty",808,358,450,303,145,157,870,328,542,531,221,310,349,160,189,287,151,135
"254","NAKURU","KURESOI SOUTH","SubCounty",390,191,199,241,123,118,569,264,305,278,156,122,300,165,135,199,121,78
"255","NAKURU","MOLO","SubCounty",1322,513,809,381,171,210,1429,519,910,675,271,403,455,207,248,355,205,150
"256","NAKURU","NAIVASHA","SubCounty",2050,826,1222,662,303,359,2240,876,1364,1033,429,603,713,348,365,633,352,281
"257","NAKURU","NAKURU EAST","SubCounty",1355,528,827,305,159,146,1184,439,744,496,228,268,413,191,222,367,214,153
"258","NAKURU","NAKURU NORTH","SubCounty",1485,567,918,486,211,275,1809,674,1135,987,391,595,705,322,383,516,281,235
"259","NAKURU","NAKURU WEST","SubCounty",695,306,389,207,105,102,636,300,336,232,108,124,247,131,116,238,137,101
"260","NAKURU","NJORO","SubCounty",1229,508,721,514,230,284,1589,595,994,755,350,405,608,297,311,454,259,195
"261","NAKURU","RONGAI","SubCounty",850,374,476,377,203,174,1217,496,721,559,242,317,461,201,260,364,203,161
"262","NAKURU","SUBUKIA","SubCounty",856,339,517,324,152,172,1069,383,686,564,261,303,339,159,180,239,136,103
"263","NAROK","NAROK","County",2744,1254,1490,1822,878,944,3554,1585,1969,1543,729,814,1543,743,800,1338,756,582
"264","NAROK","NAROK EAST","SubCounty",418,185,233,174,85,89,490,192,298,160,72,88,140,63,77,131,78,53
"265","NAROK","NAROK NORTH","SubCounty",637,269,368,317,159,158,675,323,352,305,140,165,297,147,150,255,143,112
"266","NAROK","NAROK SOUTH","SubCounty",491,224,267,416,192,224,683,304,379,336,174,162,348,178,170,294,163,131
"267","NAROK","NAROK WEST","SubCounty",421,194,227,284,139,145,554,247,307,213,108,105,231,113,118,198,129,69
"268","NAROK","TRANS MARA EAST","SubCounty",213,108,105,214,91,123,401,161,240,202,94,108,198,95,103,175,98,77
"269","NAROK","TRANS MARA WEST","SubCounty",564,274,290,417,212,205,751,358,393,327,141,186,329,147,182,285,145,140
"270","NAROK","MAU FOREST","SubCounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","KAJIADO","KAJIADO","County",4009,1702,2306,1706,806,900,3571,1549,2022,1764,818,946,1658,786,872,1663,905,758
"272","KAJIADO","ISINYA","SubCounty",616,292,324,181,81,100,427,203,224,192,73,119,205,88,117,214,110,104
"273","KAJIADO","KAJIADO CENTRAL","SubCounty",508,211,297,288,140,148,446,191,255,208,103,105,235,111,124,206,114,92
"274","KAJIADO","KAJIADO NORTH","SubCounty",1165,488,677,433,206,227,1060,450,610,555,265,290,494,243,251,495,277,218
"275","KAJIADO","KAJIADO WEST","SubCounty",680,264,415,310,142,168,635,252,383,290,132,158,267,128,139,213,120,93
"276","KAJIADO","LOITOKITOK","SubCounty",723,305,418,351,166,185,695,298,397,389,186,203,331,163,168,420,224,196
"277","KAJIADO","MASHUURU","SubCounty",317,142,175,143,71,72,308,155,153,130,59,71,126,53,73,115,60,55
"278","KERICHO","KERICHO","County",2300,1053,1247,1433,705,728,3722,1596,2125,1861,882,979,1865,908,957,1467,836,631
"279","KERICHO","BELGUT","SubCounty",292,121,171,218,107,111,589,230,359,264,124,140,297,138,159,225,123,102
"280","KERICHO","BURETI","SubCounty",500,244,256,318,165,153,842,385,457,423,197,226,480,232,248,371,213,158
"281","KERICHO","KERICHO EAST","SubCounty",463,213,250,225,117,108,714,309,405,352,163,189,318,151,167,249,143,106
"282","KERICHO","KIPKELION","SubCounty",327,142,185,198,104,94,491,204,286,221,109,112,206,99,107,159,87,72
"283","KERICHO","LONDIANI","SubCounty",399,194,205,235,95,140,605,252,353,343,156,187,301,146,155,241,140,101
"284","KERICHO","SOIN SIGOWET","SubCounty",319,139,180,239,117,122,481,216,265,258,133,125,263,142,121,222,130,92
"285","BOMET","BOMET","County",2334,1070,1264,1610,799,811,3931,1645,2285,1962,1005,957,2007,1005,1002,1551,885,666
"286","BOMET","BOMET EAST","SubCounty",511,250,261,320,170,150,751,312,439,351,171,180,346,153,193,259,151,108
"287","BOMET","CHEPALUNGU","SubCounty",457,207,250,335,151,184,855,347,507,429,223,206,445,239,206,336,194,142
"288","BOMET","KONOIN","SubCounty",358,153,205,214,117,97,567,223,344,275,132,143,308,142,166,256,136,120
"289","BOMET","SOTIK","SubCounty",605,258,347,458,223,235,1049,464,585,521,294,227,512,277,235,400,232,168
"290","BOMET","BOMET CENTRAL","SubCounty",403,202,201,283,138,145,709,299,410,386,185,201,396,194,202,300,172,128
"291","KAKAMEGA","KAKAMEGA","County",17706,7274,10431,8507,3627,4879,19273,7355,11917,11357,4416,6940,5752,2686,3065,5826,3094,2732
"292","KAKAMEGA","BUTERE","SubCounty",1544,634,910,783,330,453,1763,702,1061,996,383,613,507,224,283,475,238,237
"293","KAKAMEGA","KAKAMEGA CENTRAL","SubCounty",1494,616,878,571,261,310,1561,617,944,866,330,536,502,241,261,514,281,233
"294","KAKAMEGA","KAKAMEGA EAST","SubCounty",1515,623,892,736,293,443,1764,662,1101,1131,397,734,556,234,321,503,252,251
"295","KAKAMEGA","KAKAMEGA NORTH","SubCounty",1824,806,1018,902,410,492,1977,817,1160,1014,447,567,543,288,255,629,346,283
"296","KAKAMEGA","KAKAMEGA SOUTH","SubCounty",842,344,498,434,181,253,1200,507,693,700,276,424,468,234,234,332,175,157
"297","KAKAMEGA","KHWISERO","SubCounty",2652,1012,1639,1180,461,719,3006,1007,1999,1750,638,1111,639,274,365,574,294,280
"298","KAKAMEGA","LIKUYANI","SubCounty",1390,549,841,538,222,315,1299,491,808,722,296,426,466,213,253,627,341,286
"299","KAKAMEGA","LUGARI","SubCounty",918,359,559,375,158,217,963,351,612,523,229,294,313,151,162,319,157,162
"300","KAKAMEGA","MATETE","SubCounty",412,172,240,243,112,131,435,196,239,255,114,141,147,75,72,168,88,80
"301","KAKAMEGA","MATUNGU","SubCounty",967,406,561,627,281,346,1093,434,659,665,262,403,425,199,226,455,235,220
"302","KAKAMEGA","MUMIAS EAST","SubCounty",1550,661,889,761,345,416,1637,577,1060,1041,384,657,411,194,217,434,271,163
