"","County","SubCounty","AdminArea","Farming","ExoticCattle_Dairy","ExoticCattle_Beef","IndigenousCattle","Sheep","Goats","Camels","Donkeys","Pigs","IndigenousChicken","ExoticChicken_Layers","ExoticChicken_Broilers","Beehives","Rabbits","FishPonds","FishCages"
"95","EMBU","EMBU","County",130990,40843,9167,88405,45246,269133,228,11521,12837,756202,104390,36297,57408,29746,1766,977
"96","EMBU","EMBU EAST","SubCounty",31674,15151,2775,7908,5264,29471,14,37,2538,168591,20467,5986,8410,8153,510,366
"97","EMBU","EMBU NORTH","SubCounty",18854,11213,2059,2306,2831,9617,8,8,2000,74255,12366,4898,3715,5297,145,13
"98","EMBU","EMBU WEST","SubCounty",21166,9312,2225,4520,3295,21044,24,62,4957,120847,24422,15285,4196,7663,502,515
"99","EMBU","MBEERE SOUTH","SubCounty",35511,2694,1598,49465,21519,128586,111,7872,2377,240522,31609,6695,23365,4860,302,68
"100","EMBU","MBEERE NORTH","SubCounty",23785,2473,510,24206,12337,80415,71,3542,965,151987,15526,3433,17722,3773,307,15
"101","EMBU","MT. KENYA FOREST","SubCounty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","KITUI","KITUI","County",215322,10412,8869,324351,105830,1370560,5202,162609,1254,1361190,56769,27054,224113,3209,2462,161
"103","KITUI","IKUTHA","SubCounty",14236,808,678,23671,7016,108481,27,14773,26,83618,2163,1319,24655,114,29,4
"104","KITUI","KATULANI","SubCounty",10717,407,521,12167,1818,45257,29,5548,122,67517,4205,3466,2612,186,1126,20
"105","KITUI","KISASI","SubCounty",9797,331,317,13701,1411,42936,13,5583,38,62512,913,466,3317,287,21,1
"106","KITUI","KITUI CENTRAL","SubCounty",17146,1455,692,15654,1682,48910,32,4538,168,97856,8673,4914,5375,339,57,14
"107","KITUI","KITUI WEST","SubCounty",15208,682,265,16013,4031,53517,37,7588,18,95828,1764,363,2289,576,21,10
"108","KITUI","KYUSO","SubCounty",14021,600,824,25965,11084,124899,161,15981,45,86087,2262,1349,23287,58,58,9
"109","KITUI","LOWER YATTA","SubCounty",12281,771,788,23694,7391,87960,92,9088,23,82866,2405,1387,13543,93,123,26
