"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"197","TURKANA","TURKANA NORTH","SubCounty",6956,53,25,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,62,62,NA,NA
"198","TURKANA","TURKANA SOUTH","SubCounty",10257,2824,1518,NA,NA,NA,NA,NA,NA,607,NA,NA,NA,NA,NA,NA,785,780,NA,NA
"199","TURKANA","TURKANA WEST","SubCounty",9451,970,2447,NA,NA,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,392,268,NA,NA
"200","WEST POKOT","WEST POKOT","County",89828,75323,18754,NA,11316,43812,2126,2942,NA,2193,14413,8146,4808,10145,1140,11759,1035,18662,4006,NA
"201","WEST POKOT","KIPKOMO","SubCounty",14921,13733,4632,NA,686,10477,539,818,NA,297,3029,660,1054,2115,188,2829,106,3501,558,NA
"202","WEST POKOT","POKOT CENTRAL","SubCounty",17573,13864,2097,NA,644,7281,909,613,NA,838,4137,656,1168,1691,372,3822,226,2533,1659,NA
"203","WEST POKOT","POKOT NORTH","SubCounty",20563,17561,7692,NA,285,8915,117,261,NA,488,622,242,432,462,278,1607,486,1313,370,NA
"204","WEST POKOT","POKOT SOUTH","SubCounty",12241,8398,481,NA,7886,4585,181,413,NA,87,1998,4883,1146,4836,63,934,80,5930,743,NA
"205","WEST POKOT","WEST POKOT","SubCounty",24530,21767,3852,NA,1815,12554,380,837,NA,483,4627,1705,1008,1041,239,2567,137,5385,676,NA
"206","SAMBURU","SAMBURU","County",43149,12817,NA,NA,3168,10667,NA,346,93,465,721,1593,2202,2458,NA,51,NA,4487,NA,NA
"207","SAMBURU","SAMBURU CENTRAL","SubCounty",22176,12561,NA,NA,3134,10408,NA,321,89,425,656,1556,2092,2359,NA,49,NA,4291,NA,NA
"208","SAMBURU","SAMBURU EAST","SubCounty",11460,59,NA,NA,17,53,NA,7,2,3,8,13,18,15,NA,2,NA,33,NA,NA
"209","SAMBURU","SAMBURU NORTH","SubCounty",9513,197,NA,NA,17,206,NA,18,2,37,57,24,92,84,NA,NA,NA,163,NA,NA
"210","TRANS NZOIA","TRANS NZOIA","County",140249,125391,9454,NA,15289,88786,10655,22537,1663,1251,55116,8379,9486,7414,2205,12266,NA,43464,7816,NA
"211","TRANS NZOIA","TRANS NZOIA WEST","SubCounty",23540,20733,1886,NA,4606,16029,1823,3479,268,211,9683,1823,2871,1338,337,2178,NA,7093,865,NA
"212","TRANS NZOIA","TRANS NZOIA EAST","SubCounty",36921,34049,1992,NA,3387,22193,1392,4123,360,240,12863,2349,1380,2243,194,3921,NA,12007,1684,NA
"213","TRANS NZOIA","KWANZA","SubCounty",28502,25420,1951,NA,1826,17713,2149,4626,344,274,9958,1377,1374,1018,303,2610,NA,7917,1047,NA
"214","TRANS NZOIA","ENDEBESS","SubCounty",16775,14936,1591,NA,2818,11555,831,1698,196,145,4196,1055,2130,979,99,1547,NA,3922,310,NA
"215","TRANS NZOIA","KIMININI","SubCounty",34511,30253,2034,NA,2652,21296,4460,8611,495,381,18416,1775,1731,1836,1272,2010,NA,12525,3910,NA
"216","UASIN GISHU","UASIN GISHU","County",141547,126577,8982,NA,23950,67257,2675,10382,8148,NA,21501,12737,9092,16729,NA,15684,NA,46064,4704,NA
"217","UASIN GISHU","AINABKOI","SubCounty",17845,15828,743,NA,6235,8536,125,900,1254,NA,1494,2495,1137,3143,NA,1908,NA,6450,266,NA
"218","UASIN GISHU","KAPSERET","SubCounty",16891,13839,741,NA,1983,6530,324,1237,378,NA,3103,1331,1218,2048,NA,642,NA,6079,690,NA
